['00:11:35', '20.04 C', '68.07 F', '55.83 %', '995.205577 hPa', '207.19 meters', '10.81 dew-C', '51.46 dew-F']
['00:11:36', '20.04 C', '68.07 F', '55.60 %', '995.162957 hPa', '207.20 meters', '10.81 dew-C', '51.46 dew-F']
['00:11:38', '20.04 C', '68.07 F', '55.60 %', '995.170181 hPa', '207.33 meters', '10.81 dew-C', '51.46 dew-F']
['00:11:39', '20.04 C', '68.07 F', '55.61 %', '995.175113 hPa', '207.33 meters', '10.81 dew-C', '51.46 dew-F']
['00:11:40', '20.04 C', '68.07 F', '55.57 %', '995.193717 hPa', '207.05 meters', '10.81 dew-C', '51.46 dew-F']
['00:11:41', '20.04 C', '68.07 F', '55.79 %', '995.192008 hPa', '207.22 meters', '10.81 dew-C', '51.46 dew-F']
['00:11:42', '20.04 C', '68.07 F', '55.56 %', '995.149675 hPa', '207.36 meters', '10.81 dew-C', '51.46 dew-F']
['00:11:43', '20.04 C', '68.07 F', '55.59 %', '995.169987 hPa', '207.19 meters', '10.81 dew-C', '51.46 dew-F']
['00:11:44', '20.04 C', '68.07 F', '55.60 %', '995.159928 hPa', '207.13 meters', '10.81 dew-C', '51.46 dew-F']
['00:11:46', '20.04 C', '68.07 F', '55.66 %', '995.190493 hPa', '207.26 meters', '10.81 dew-C', '51.46 dew-F']
['00:11:47', '20.04 C', '68.07 F', '55.70 %', '995.149675 hPa', '207.48 meters', '10.81 dew-C', '51.46 dew-F']
['00:11:48', '20.04 C', '68.07 F', '55.73 %', '995.163346 hPa', '207.45 meters', '10.81 dew-C', '51.46 dew-F']
['00:11:49', '20.04 C', '68.07 F', '55.73 %', '995.195814 hPa', '207.12 meters', '10.81 dew-C', '51.46 dew-F']
['00:11:50', '20.04 C', '68.07 F', '55.59 %', '995.185366 hPa', '207.39 meters', '10.81 dew-C', '51.46 dew-F']
['00:11:51', '20.04 C', '68.07 F', '55.64 %', '995.168472 hPa', '207.27 meters', '10.81 dew-C', '51.46 dew-F']
['00:11:52', '20.04 C', '68.07 F', '55.69 %', '995.192396 hPa', '207.36 meters', '10.81 dew-C', '51.46 dew-F']
['00:11:53', '20.04 C', '68.07 F', '55.58 %', '995.137907 hPa', '207.39 meters', '10.81 dew-C', '51.46 dew-F']
['00:11:55', '20.04 C', '68.07 F', '55.67 %', '995.224864 hPa', '206.92 meters', '10.81 dew-C', '51.46 dew-F']
['00:11:56', '20.04 C', '68.07 F', '55.51 %', '995.170375 hPa', '207.30 meters', '10.81 dew-C', '51.46 dew-F']
['00:11:57', '20.04 C', '68.07 F', '55.59 %', '995.165054 hPa', '207.40 meters', '10.81 dew-C', '51.46 dew-F']
['00:11:58', '20.04 C', '68.07 F', '55.69 %', '995.170375 hPa', '207.25 meters', '10.81 dew-C', '51.46 dew-F']
['00:11:59', '20.04 C', '68.07 F', '55.64 %', '995.136072 hPa', '207.29 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:00', '20.04 C', '68.07 F', '55.70 %', '995.181949 hPa', '207.33 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:01', '20.04 C', '68.07 F', '55.84 %', '995.171957 hPa', '207.30 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:02', '20.04 C', '68.07 F', '55.63 %', '995.154996 hPa', '207.32 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:04', '20.04 C', '68.07 F', '55.64 %', '995.173793 hPa', '207.33 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:05', '20.04 C', '68.07 F', '55.64 %', '995.178792 hPa', '207.45 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:06', '20.04 C', '68.07 F', '55.50 %', '995.166957 hPa', '207.52 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:07', '20.04 C', '68.07 F', '55.76 %', '995.143101 hPa', '207.50 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:08', '20.04 C', '68.07 F', '55.73 %', '995.130945 hPa', '207.39 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:09', '20.04 C', '68.07 F', '55.65 %', '995.148033 hPa', '207.58 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:10', '20.04 C', '68.07 F', '55.56 %', '995.154801 hPa', '207.32 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:11', '20.04 C', '68.07 F', '55.66 %', '995.153160 hPa', '207.36 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:13', '20.04 C', '68.07 F', '55.81 %', '995.163607 hPa', '207.36 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:14', '20.04 C', '68.07 F', '55.85 %', '995.161704 hPa', '207.79 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:15', '20.04 C', '68.07 F', '55.76 %', '995.148033 hPa', '207.43 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:16', '20.04 C', '68.07 F', '55.60 %', '995.146519 hPa', '207.29 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:17', '20.04 C', '68.07 F', '55.79 %', '995.113857 hPa', '207.53 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:18', '20.04 C', '68.07 F', '55.49 %', '995.141392 hPa', '207.47 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:19', '20.04 C', '68.07 F', '55.64 %', '995.150130 hPa', '207.47 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:21', '20.04 C', '68.07 F', '55.85 %', '995.103993 hPa', '207.75 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:22', '20.04 C', '68.07 F', '55.57 %', '995.124110 hPa', '207.27 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:23', '20.04 C', '68.07 F', '55.61 %', '995.171957 hPa', '207.32 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:24', '20.04 C', '68.07 F', '55.64 %', '995.142907 hPa', '207.47 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:25', '20.04 C', '68.07 F', '55.65 %', '995.159995 hPa', '207.29 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:26', '20.04 C', '68.07 F', '55.69 %', '995.163413 hPa', '207.56 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:27', '20.04 C', '68.07 F', '55.75 %', '995.134751 hPa', '207.34 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:28', '20.04 C', '68.07 F', '55.73 %', '995.158286 hPa', '207.41 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:30', '20.04 C', '68.07 F', '55.52 %', '995.143295 hPa', '207.40 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:31', '20.04 C', '68.07 F', '55.62 %', '995.130945 hPa', '207.46 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:32', '20.04 C', '68.07 F', '55.67 %', '995.153287 hPa', '207.53 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:33', '20.04 C', '68.07 F', '55.71 %', '995.143101 hPa', '207.36 meters', '10.81 dew-C', '51.46 dew-F']
['00:12:34', '20.04 C', '68.07 F', '55.43 %', '995.180501 hPa', '207.43 meters', '10.81 dew-C', '51.46 dew-F']
